feature,correlation_pearson,p_value_pearson,correlation_spearman,p_value_spearman,correlation_difference
LEIDEN_cluster_7,-0.2105158475984862,2.2633501689992432e-08,-0.30872059845751765,9.543716787121069e-17,0.09820475085903144
LEIDEN_cluster_13,-0.06656792912341013,0.08013482114829197,-0.14471348657428226,0.00013341857565029423,0.07814555745087214
LEIDEN_cluster_50,-0.017275245280823102,0.6500785719845185,-0.09113084946676352,0.016487757188386562,0.07385560418594042
LEIDEN_cluster_11,0.1910221797206566,4.1354553213886744e-07,0.2585765904277596,4.929043171722365e-12,0.067554410707103
LEIDEN_cluster_39,-0.13162469245816183,0.0005178307733367928,-0.06546081757851088,0.08529837178817959,0.06616387487965095
LEIDEN_cluster_9,0.06587190139720003,0.083350604294874,0.010891448320125298,0.7748782850215449,0.054980453077074734
LEIDEN_cluster_55,-0.013656276937848266,0.7198884932900471,0.036800686729954624,0.33371791591253785,0.05045696366780289
LEIDEN_cluster_36,-0.01188741444637996,0.7549229224792506,-0.06199229875283666,0.10323218288475831,0.0501048843064567
LEIDEN_cluster_15,0.052656357499186485,0.16647230255014836,0.09594491451939217,0.01156385558539167,0.04328855702020569
LEIDEN_cluster_41,0.2801895783985122,5.993931760852048e-14,0.32211626016622275,3.594689944905658e-18,0.04192668176771053
LEIDEN_cluster_14,-0.05742756653531275,0.13124820087865688,-0.017125812322127988,0.6529063575434856,0.040301754213184764
LEIDEN_cluster_19,0.1649015673527047,1.3010871368143741e-05,0.20405207102733522,6.123982149656074e-08,0.03915050367463052
LEIDEN_cluster_5,0.2806223036324037,5.465132362198442e-14,0.31633042054671745,1.5121679645629672e-17,0.03570811691431375
LEIDEN_cluster_25,-0.1881966384796048,6.152986136681293e-07,-0.21873347438659405,6.095192426599313e-09,0.030536835906989246
LEIDEN_cluster_1,0.40143548062879897,3.519992030006732e-28,0.4307317350519186,1.251344721253534e-32,0.029296254423119616
LEIDEN_cluster_45,-0.17134453213610126,5.821101204189565e-06,-0.20059850262001475,1.0287767424418345e-07,0.029253970483913483
LEIDEN_cluster_56,-0.066086972296174,0.08234598590906685,-0.03695019185581266,0.33175647641765793,0.02913678044036134
LEIDEN_cluster_23,-0.10321318492577945,0.006578367618900419,-0.13148228293584643,0.0005251860189116846,0.02826909801006698
LEIDEN_cluster_46,-0.13420469247245098,0.00040009966659793685,-0.10726244963275694,0.004732690077700237,0.02694224283969404
PCA_1,-0.42515597381306436,9.51251540066967e-32,-0.45194455568015096,3.909073641224145e-36,0.026788581867086603
